,Has Online delivery,Is delivering now,Price range,Votes,Num_of_Cuisines,Dollar_Standard_Avg_Cost_2,Australia,Botswana,Brazil,Canada,India,Indonesia,New Zealand,Qatar,Singapore,South Africa,Sri Lanka,Turkey,UAE,UK,USA,Val_Mon
2289,0,0,4,774,1,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6734693877551017
2290,0,0,3,327,1,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
2291,0,0,1,142,2,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
2292,0,0,2,377,4,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1707317073170733
2293,0,0,2,99,6,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4285714285714286
2294,0,0,2,25,3,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4634146341463417
2295,0,0,3,179,2,10.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.487804878048781
2296,0,0,2,369,1,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6744186046511629
2297,0,0,3,256,5,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
2298,0,0,2,233,5,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9534883720930234
2299,0,0,2,96,2,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9534883720930234
2300,1,0,3,3374,3,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.186046511627907
2301,0,0,3,200,3,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6734693877551017
2302,1,0,3,1932,4,21.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.595744680851064
2303,0,0,3,144,5,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.736842105263158
2304,1,0,3,2553,4,21.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.695652173913044
2305,1,0,2,682,3,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1
2306,0,0,3,860,3,22.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.302325581395349
2307,0,0,3,5434,3,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6734693877551017
2308,0,0,2,1023,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
2309,0,0,3,79,2,16.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
2310,0,0,3,221,3,14.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4285714285714284
2311,1,0,4,2218,3,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.454545454545454
2312,0,0,3,594,3,14.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.51219512195122
2313,0,0,3,1431,6,13.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.219512195121952
2314,1,0,3,1859,4,21.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.142857142857143
2315,0,0,2,344,3,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.276595744680851
2316,1,0,3,616,2,13.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.384615384615385
2317,0,0,3,571,2,16.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.097560975609756
2318,0,0,3,238,5,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.216216216216216
2319,0,0,3,100,2,10.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.487804878048781
2320,0,0,1,152,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.7317073170731708
2321,0,0,4,37,2,23.400000000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.707317073170732
2322,0,0,2,430,4,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.153846153846154
2323,0,0,3,304,2,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.857142857142857
2324,0,0,3,404,2,14.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6
2325,0,0,3,214,3,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.526315789473684
2326,0,0,3,496,2,10.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5500000000000003
2327,0,0,4,209,4,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.315789473684211
2328,0,0,4,334,3,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.186046511627907
2329,0,0,2,26,2,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5161290322580645
2330,0,0,2,502,4,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.153846153846154
2331,0,0,2,69,2,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0526315789473686
2332,0,0,2,69,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5384615384615385
2333,0,0,4,413,2,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5
2334,0,0,2,87,3,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.1162790697674418
2335,0,0,3,181,3,13.200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.219512195121952
2336,0,0,2,171,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.3953488372093024
2337,0,0,3,341,4,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4
2338,1,0,2,1469,3,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.9148936170212765
2339,0,0,3,676,4,19.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0769230769230775
2340,1,0,3,582,5,16.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.2
2341,1,0,2,389,3,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0454545454545454
2342,1,0,3,843,5,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.545454545454545
2343,0,0,3,212,5,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0
2344,0,0,3,1478,1,19.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.465116279069767
2345,0,0,3,67,2,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.615384615384616
2346,1,0,3,633,4,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.857142857142857
2347,0,0,3,916,7,21.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4
2348,0,0,4,420,4,27.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.133333333333334
2349,0,0,4,308,2,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.976744186046512
2350,1,0,4,322,3,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.897959183673469
2351,1,0,2,198,5,7.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.857142857142857
2352,0,0,2,148,1,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.048780487804878
2353,1,0,2,798,4,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.2325581395348837
2354,0,0,3,1121,5,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.186046511627907
2355,0,0,3,46,6,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.615384615384615
2356,1,0,3,310,3,14.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6923076923076925
2357,1,0,2,112,4,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5945945945945943
